# 우편 지역코드 seed — `make discover` 로 생성. 명세서 지역코드표로 교체·보완 가능
code,region,subregion,is_center,total_count
760,경북,안동시,false,139
763,경북,청송군,false,23
764,경북,영양군,false,15
766,경북,영덕군,false,20
767,경북,울진군,false,25
769,경북,의성군,false,40
770,경북,영천시,false,46
780,경북,경주시,false,100
790,경북,포항시,false,158
799,경북,울릉군,false,11
